Model,Train,Test,Images,CFCBK,FCBK,Zigzag,Class-agnostic AP
RFDETRLarge Epoch 49,Bihar,Test Bihar,687,0.2834747760490335,0.0080902605566679,0.5462243003200961,0.5207235639101869
RFDETRLarge Epoch 39,Bihar,Test Bihar,687,0.1786892975011786,0.0036303630363036,0.5389592122109021,0.5104859630571286
RFDETRLarge Best Total,Swinir Bihar,Swinir Test Bihar,687,0.099009900990099,0.0170238817359996,0.5768768049330182,0.5509562453941755
RFDETRLarge Epoch 49,Swinir Bihar,Swinir Test Bihar,687,0.1419141914191419,0.0143071313824265,0.5506873449868199,0.5325789348000853
RFDETRLarge Best Total,Thera Bihar,Thera Test Bihar,687,0.1089108910891089,0.0,0.5686493943062332,0.5424783971124845
RFDETRLarge Epoch 49,Thera Bihar,Thera Test Bihar,687,0.0726072607260726,0.0067971082822567,0.590217871099834,0.5480278884088168
RFDETRLarge Best Regular,Haryana,Test Bihar,687,0.0,0.0099009900990099,0.4692465385769788,0.445401169489857
RFDETRLarge Epoch 49,Haryana,Test Bihar,687,0.0,0.0006828269033799,0.3346924058900403,0.3412684454626122
RFDETRLarge Epoch 79,Haryana,Test Bihar,687,0.0,0.0,0.3756666047283742,0.3809454129414825
RFDETRLarge Epoch 89,Haryana,Test Bihar,687,0.0,0.0008609556607834,0.3711445279081926,0.3743799138391508
RFDETRLarge Epoch 99,Haryana,Test Bihar,687,0.0,0.0016973125884016,0.3149747430821629,0.3131868130561354
RFDETRLarge Epoch 79,Thera Haryana,Thera Test Bihar,687,0.0,0.0228977729705743,0.344727383468566,0.3697074639649648
RFDETRLarge Epoch 89,Thera Haryana,Thera Test Bihar,687,0.0,0.0069306930693069,0.3307610420221616,0.3278421812341068
RFDETRLarge Epoch 99,Thera Haryana,Thera Test Bihar,687,0.0,0.0013201320132013,0.402081059490021,0.3999979286631754
RFDETRLarge Best Total,Thera Haryana,Thera Test Bihar,687,0.0,0.0208709130022313,0.4009930240711113,0.4080120189590818
RFDETRLarge Epoch 49,Swinir Haryana,Swinir Test Bihar,687,0.0,0.0056773534496306,0.3528737413165572,0.3632272812468693
RFDETRLarge Epoch 79,Swinir Haryana,Swinir Test Bihar,687,0.0,0.0019801980198019,0.3751461075523476,0.3735754938931075
RFDETRLarge Epoch 89,Swinir Haryana,Swinir Test Bihar,687,0.0,0.0,0.4321966284579192,0.4333062369224084
RFDETRLarge Epoch 99,Swinir Haryana,Swinir Test Bihar,687,0.0,0.0,0.34536294626161357,0.3399807701046479
RFDETRLarge Best Total,Swinir Haryana,Swinir Test Bihar,687,0.0,0.0099009900990099,0.3670335177003009,0.3584271354325331
